person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,debt_to_income_ratio,loan_to_income_ratio,income_band,age_group,employment_stability,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,default_probability,credit_risk_score,risk_tier,loan_decision,decision_reasons
21,9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1042,N,2,0.0116,0.1042,<25k,18-25,Established(3-7y),New(<=2y),0,0,0,0,0.0430072613290462,874,Very Low,Approve,Very Low risk tier (PD=4.3%) — strong repayment profile.
25,9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.5729,N,3,0.0737,0.5729,<25k,18-25,Unstable(<1y),Building(2-5y),0,1,0,0,0.9934158692068286,304,Very High,Reject,Very High risk tier (PD=99.3%) — default probability too high for approval under current risk appetite.
23,65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.5344,N,2,0.0814,0.5344,50-75k,18-25,Established(3-7y),New(<=2y),0,1,0,1,0.8465549902213261,392,Very High,Reject,Very High risk tier (PD=84.7%) — default probability too high for approval under current risk appetite.
24,54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.6434,Y,4,0.0918,0.6434,50-75k,18-25,Stable(7y+),Building(2-5y),1,1,0,1,0.9533976212763476,328,Very High,Reject,Very High risk tier (PD=95.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.
21,9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.2525,N,2,0.018,0.2525,<25k,18-25,Early(1-3y),New(<=2y),0,0,0,0,0.1104810851121015,834,Very Low,Approve,Very Low risk tier (PD=11.0%) — strong repayment profile.
26,77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.454,N,3,0.0564,0.454,75-100k,26-35,Stable(7y+),Building(2-5y),0,1,0,1,0.5576581370121986,565,High,Manual Review,High risk tier (PD=55.8%) — requires underwriter judgement and possibly additional collateral/guarantor.
24,78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.4433,N,4,0.0492,0.4433,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.6462128306530175,512,High,Manual Review,High risk tier (PD=64.6%) — requires underwriter judgement and possibly additional collateral/guarantor.
24,83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.4217,N,2,0.0375,0.4217,75-100k,18-25,Stable(7y+),New(<=2y),0,1,0,1,0.4928371638603203,604,Moderate,Approve with Conditions,Moderate risk tier (PD=49.3%) — approve with adjusted terms (higher rate and/or lower approved amount).
21,10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,0.0236,0.16,<25k,18-25,Established(3-7y),Building(2-5y),0,0,1,0,0.466682168160015,620,Moderate,Approve with Conditions,Moderate risk tier (PD=46.7%) — approve with adjusted terms (higher rate and/or lower approved amount).
22,85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.4118,N,4,0.0427,0.4118,75-100k,18-25,Established(3-7y),Building(2-5y),0,1,0,1,0.3397667600472301,696,Low,Approve with Conditions,Low risk tier (PD=34.0%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.
21,10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,0.0388,0.45,<25k,18-25,Early(1-3y),New(<=2y),0,1,0,0,0.8967884545465374,362,Very High,Reject,Very High risk tier (PD=89.7%) — default probability too high for approval under current risk appetite.
23,95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.3684,N,2,0.0291,0.3684,75-100k,18-25,Early(1-3y),New(<=2y),0,0,0,1,0.1733736138952504,796,Very Low,Approve,Very Low risk tier (PD=17.3%) — strong repayment profile.
26,108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.3236,N,4,0.0595,0.3236,100k+,26-35,Established(3-7y),Building(2-5y),0,0,0,1,0.7319302905729504,461,Very High,Reject,Very High risk tier (PD=73.2%) — default probability too high for approval under current risk appetite.
23,115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3043,N,4,0.024,0.3043,100k+,18-25,Early(1-3y),Building(2-5y),0,0,0,1,0.1067227084463318,836,Very Low,Approve,Very Low risk tier (PD=10.7%) — strong repayment profile.
23,500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,0.0064,0.06,100k+,18-25,Established(3-7y),Building(2-5y),0,0,0,0,0.015661946004323,891,Very Low,Approve,Very Low risk tier (PD=1.6%) — strong repayment profile.
23,120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.2917,N,4,0.023,0.2917,100k+,18-25,Unstable(<1y),Building(2-5y),0,0,0,1,0.0902782354854222,846,Very Low,Approve,Very Low risk tier (PD=9.0%) — strong repayment profile.
23,92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.38,N,4,0.0769,0.38,75-100k,18-25,Established(3-7y),Building(2-5y),0,0,0,1,0.9155417470052056,351,Very High,Reject,Very High risk tier (PD=91.6%) — default probability too high for approval under current risk appetite.
