loan_id,origination_date,origination_month,person_age,age_group,person_income,income_band,person_home_ownership,person_emp_length,employment_stability,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_percent_income,loan_to_income_ratio,debt_to_income_ratio,cb_person_default_on_file,cb_person_cred_hist_length,credit_history_category,flag_prior_default,flag_high_loan_burden,flag_low_income_high_grade_risk,flag_renter,loan_status,loan_status_label,default_probability,credit_risk_score,risk_tier,loan_decision,decision_reasons,persona
L100000,2023-04-13,2023-04,21,18-25,9600,<25k,OWN,5.0,Established(3-7y),EDUCATION,B,1000,11.14,0.1042,0.1042,0.0116,N,2,New(<=2y),0,0,0,0,0,Non-Default,0.0430072613290462,874,Very Low,Approve,Very Low risk tier (PD=4.3%) — strong repayment profile.,The Moderate Borrower
L100001,2024-03-11,2024-03,25,18-25,9600,<25k,MORTGAGE,1.0,Unstable(<1y),MEDICAL,C,5500,12.87,0.5729,0.5729,0.0737,N,3,Building(2-5y),0,1,0,0,1,Default,0.9934158692068286,304,Very High,Reject,Very High risk tier (PD=99.3%) — default probability too high for approval under current risk appetite.,The Fresh Starter
L100002,2023-09-28,2023-09,23,18-25,65500,50-75k,RENT,4.0,Established(3-7y),MEDICAL,C,35000,15.23,0.5344,0.5344,0.0814,N,2,New(<=2y),0,1,0,1,1,Default,0.8465549902213261,392,Very High,Reject,Very High risk tier (PD=84.7%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100003,2023-04-17,2023-04,24,18-25,54400,50-75k,RENT,8.0,Stable(7y+),MEDICAL,C,35000,14.27,0.6434,0.6434,0.0918,Y,4,Building(2-5y),1,1,0,1,1,Default,0.9533976212763476,328,Very High,Reject,Very High risk tier (PD=95.3%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100004,2023-03-13,2023-03,21,18-25,9900,<25k,OWN,2.0,Early(1-3y),VENTURE,A,2500,7.14,0.2525,0.2525,0.018,N,2,New(<=2y),0,0,0,0,1,Default,0.1104810851121015,834,Very Low,Approve,Very Low risk tier (PD=11.0%) — strong repayment profile.,The Fresh Starter
L100005,2024-12-01,2024-12,26,26-35,77100,75-100k,RENT,8.0,Stable(7y+),EDUCATION,B,35000,12.42,0.454,0.454,0.0564,N,3,Building(2-5y),0,1,0,1,1,Default,0.5576581370121986,565,High,Manual Review,High risk tier (PD=55.8%) — requires underwriter judgement and possibly additional collateral/guarantor.,The Steady Earner
L100006,2023-01-21,2023-01,24,18-25,78956,75-100k,RENT,5.0,Established(3-7y),MEDICAL,B,35000,11.11,0.4433,0.4433,0.0492,N,4,Building(2-5y),0,1,0,1,1,Default,0.6462128306530175,512,High,Manual Review,High risk tier (PD=64.6%) — requires underwriter judgement and possibly additional collateral/guarantor.,The Steady Earner
L100007,2024-09-06,2024-09,24,18-25,83000,75-100k,RENT,8.0,Stable(7y+),PERSONAL,A,35000,8.9,0.4217,0.4217,0.0375,N,2,New(<=2y),0,1,0,1,1,Default,0.4928371638603203,604,Moderate,Approve with Conditions,Moderate risk tier (PD=49.3%) — approve with adjusted terms (higher rate and/or lower approved amount).,The Steady Earner
L100008,2023-05-02,2023-05,21,18-25,10000,<25k,OWN,6.0,Established(3-7y),VENTURE,D,1600,14.74,0.16,0.16,0.0236,N,3,Building(2-5y),0,0,1,0,1,Default,0.466682168160015,620,Moderate,Approve with Conditions,Moderate risk tier (PD=46.7%) — approve with adjusted terms (higher rate and/or lower approved amount).,The Moderate Borrower
L100009,2024-04-11,2024-04,22,18-25,85000,75-100k,RENT,6.0,Established(3-7y),VENTURE,B,35000,10.37,0.4118,0.4118,0.0427,N,4,Building(2-5y),0,1,0,1,1,Default,0.3397667600472301,696,Low,Approve with Conditions,Low risk tier (PD=34.0%) — acceptable risk under standard policy. | Loan-to-income ratio exceeds 30% — recommend reduced loan amount or additional income verification.,The Steady Earner
L100010,2023-08-03,2023-08,21,18-25,10000,<25k,OWN,2.0,Early(1-3y),HOMEIMPROVEMENT,A,4500,8.63,0.45,0.45,0.0388,N,2,New(<=2y),0,1,0,0,1,Default,0.8967884545465374,362,Very High,Reject,Very High risk tier (PD=89.7%) — default probability too high for approval under current risk appetite.,The Fresh Starter
L100011,2023-11-27,2023-11,23,18-25,95000,75-100k,RENT,2.0,Early(1-3y),VENTURE,A,35000,7.9,0.3684,0.3684,0.0291,N,2,New(<=2y),0,0,0,1,1,Default,0.1733736138952504,796,Very Low,Approve,Very Low risk tier (PD=17.3%) — strong repayment profile.,The Steady Earner
L100012,2024-04-03,2024-04,26,26-35,108160,100k+,RENT,4.0,Established(3-7y),EDUCATION,E,35000,18.39,0.3236,0.3236,0.0595,N,4,Building(2-5y),0,0,0,1,1,Default,0.7319302905729504,461,Very High,Reject,Very High risk tier (PD=73.2%) — default probability too high for approval under current risk appetite.,The Moderate Borrower
L100013,2023-03-29,2023-03,23,18-25,115000,100k+,RENT,2.0,Early(1-3y),EDUCATION,A,35000,7.9,0.3043,0.3043,0.024,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.1067227084463318,836,Very Low,Approve,Very Low risk tier (PD=10.7%) — strong repayment profile.,The Steady Earner
L100014,2024-01-08,2024-01,23,18-25,500000,100k+,MORTGAGE,7.0,Established(3-7y),DEBTCONSOLIDATION,B,30000,10.65,0.06,0.06,0.0064,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.015661946004323,891,Very Low,Approve,Very Low risk tier (PD=1.6%) — strong repayment profile.,The Steady Earner
L100015,2023-04-10,2023-04,23,18-25,120000,100k+,RENT,0.0,Unstable(<1y),EDUCATION,A,35000,7.9,0.2917,0.2917,0.023,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.0902782354854222,846,Very Low,Approve,Very Low risk tier (PD=9.0%) — strong repayment profile.,The Steady Earner
L100016,2024-10-25,2024-10,23,18-25,92111,75-100k,RENT,7.0,Established(3-7y),MEDICAL,F,35000,20.25,0.38,0.38,0.0769,N,4,Building(2-5y),0,0,0,1,1,Default,0.9155417470052056,351,Very High,Reject,Very High risk tier (PD=91.6%) — default probability too high for approval under current risk appetite.,The High-Risk Applicant
L100017,2023-05-11,2023-05,23,18-25,113000,100k+,RENT,8.0,Stable(7y+),DEBTCONSOLIDATION,D,35000,18.25,0.3097,0.3097,0.0565,N,4,Building(2-5y),0,0,0,1,1,Default,0.7787450295716165,433,Very High,Reject,Very High risk tier (PD=77.9%) — default probability too high for approval under current risk appetite.,The Debt Juggler
L100018,2024-10-23,2024-10,24,18-25,10800,<25k,MORTGAGE,8.0,Stable(7y+),EDUCATION,B,1750,10.99,0.162,0.162,0.0178,N,2,New(<=2y),0,0,0,0,1,Default,0.3341970596364908,699,Low,Approve,Low risk tier (PD=33.4%) — acceptable risk under standard policy.,The Moderate Borrower
L100019,2023-11-05,2023-11,25,18-25,162500,100k+,RENT,2.0,Early(1-3y),VENTURE,A,35000,7.49,0.2154,0.2154,0.0161,N,4,Building(2-5y),0,0,0,1,0,Non-Default,0.0215068531126374,887,Very Low,Approve,Very Low risk tier (PD=2.2%) — strong repayment profile.,The Steady Earner
L100020,2023-12-10,2023-12,25,18-25,137000,100k+,RENT,9.0,Stable(7y+),PERSONAL,E,34800,16.77,0.254,0.254,0.0426,Y,2,New(<=2y),1,0,0,1,0,Non-Default,0.6119747118286964,533,High,Manual Review,High risk tier (PD=61.2%) — requires underwriter judgement and possibly additional collateral/guarantor. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
L100021,2024-05-06,2024-05,22,18-25,65000,50-75k,RENT,4.0,Established(3-7y),EDUCATION,D,34000,17.58,0.5231,0.5231,0.092,N,4,Building(2-5y),0,1,0,1,1,Default,0.9488751002193926,331,Very High,Reject,Very High risk tier (PD=94.9%) — default probability too high for approval under current risk appetite.,The Overextended Borrower
L100022,2024-02-18,2024-02,24,18-25,10980,<25k,OWN,0.0,Unstable(<1y),PERSONAL,A,1500,7.29,0.1366,0.1366,0.01,N,3,Building(2-5y),0,0,0,0,0,Non-Default,0.0414797875175197,875,Very Low,Approve,Very Low risk tier (PD=4.1%) — strong repayment profile.,The Fresh Starter
L100023,2024-01-21,2024-01,22,18-25,80000,75-100k,RENT,3.0,Early(1-3y),PERSONAL,D,33950,14.54,0.4244,0.4244,0.0617,Y,4,Building(2-5y),1,1,0,1,1,Default,0.8954630166247898,363,Very High,Reject,Very High risk tier (PD=89.5%) — default probability too high for approval under current risk appetite. | Note: applicant also has a prior bureau default on file.,The Repeat Risk
